-DOCSTART-	sentence-62
Mario	B	Mario_Capecchi	
Capecchi	I	Mario_Capecchi	
was	O
born	O
in	O
the	O
city	O
of	O
Verona	B	Verona	
as	O
the	O
only	O
child	O
of	O
Luciano	B	Luciano_Capecchi	
Capecchi	I	Luciano_Capecchi	
,	O
an	O
airman	B	airman	
,	O
and	O
Lucy	B	Lucy_Ramberg	
Ramberg	I	Lucy_Ramberg	
,	O
an	O
American	B	American-born	
-	I	American-born	
born	I	American-born	
daughter	B	daughter	
of	O
Impressionist	B	Impressionist_painter	
painter	I	Impressionist_painter	
Lucy	B	Lucy_Dodd_Ramberg	
Dodd	I	Lucy_Dodd_Ramberg	
Ramberg	I	Lucy_Dodd_Ramberg	
and	O
German	B	German	
archaeologist	B	archaeologist	
Walter	B	Walter_Ramberg	
Ramberg	I	Walter_Ramberg	
.	O

-DOCSTART-	sentence-56
John	B	John	
started	O
with	O
high	O
expectations	O
and	O
enthusiasm	O
to	O
study	O
chemistry	O
at	O
the	O
famous	O
Swiss	B	Swiss_Federal_Institute_of_Technology	
Federal	I	Swiss_Federal_Institute_of_Technology	
Institute	I	Swiss_Federal_Institute_of_Technology	
of	I	Swiss_Federal_Institute_of_Technology	
Technology	I	Swiss_Federal_Institute_of_Technology	
in	O
Zurich	B	Zurich	
.	O

-DOCSTART-	sentence-54
Mandela	B	Mandela	
served	O
27	O
years	O
in	O
prison	O
,	O
initially	O
on	O
Robben	B	Robben_Island	
Island	I	Robben_Island	
,	O
and	O
later	O
in	O
Pollsmoor	B	Pollsmoor_Prison	
Prison	I	Pollsmoor_Prison	
and	O
Victor	B	Victor_Verster_Prison	
Verster	I	Victor_Verster_Prison	
Prison	I	Victor_Verster_Prison	
.	O

-DOCSTART-	sentence-82
In	O
2001	O
he	B	he	
became	O
a	O
professor	B	professor	
of	O
physics	O
at	O
the	O
University	B	University_of_Manchester	
of	I	University_of_Manchester	
Manchester	I	University_of_Manchester	
,	O
and	O
was	O
appointed	O
director	B	director	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Director_(business)
of	O
the	O
Manchester	B	Manchester_Centre_for_Mesoscience_and_Nanotechnology	
Centre	I	Manchester_Centre_for_Mesoscience_and_Nanotechnology	
for	I	Manchester_Centre_for_Mesoscience_and_Nanotechnology	
Mesoscience	I	Manchester_Centre_for_Mesoscience_and_Nanotechnology	
and	I	Manchester_Centre_for_Mesoscience_and_Nanotechnology	
Nanotechnology	I	Manchester_Centre_for_Mesoscience_and_Nanotechnology	
in	O
2002	O
.	O

-DOCSTART-	sentence-96
Gordimer	B	Gordimer	
studied	O
for	O
a	O
year	O
at	O
the	O
University	B	University_of_the_Witwatersrand	
of	I	University_of_the_Witwatersrand	
the	I	University_of_the_Witwatersrand	
Witwatersrand	I	University_of_the_Witwatersrand	
,	O
where	O
she	B	she	
mixed	O
for	O
the	O
first	O
time	O
with	O
fellow	B	fellow	
professionals	O
across	O
the	O
colour	O
bar	O
.	O

-DOCSTART-	sentence-33
Prelog	B	Prelog	
attended	O
elementary	B	elementary_school	
school	I	elementary_school	
in	O
Sarajevo	B	Sarajevo	
,	O
but	O
in	O
1915	O
,	O
moved	O
to	O
Zagreb	B	Zagreb	
where	O
he	B	he	
graduated	O
from	O
elementary	B	elementary_school	
school	I	elementary_school	
.	O
At	O
first	O
,	O
Prelog	B	Prelog	
attended	O
gymnasium	B	gymnasium	
in	O
Zagreb	B	Zagreb	
,	O
but	O
soon	O
afterwards	O
,	O
his	B	his	
father	B	father	
got	O
a	O
job	O
in	O
Osijek	B	Osijek	
.	O

-DOCSTART-	sentence-13
Strict	O
rules	O
against	O
nepotism	O
prevented	O
Johns	B	Johns_Hopkins_University	
Hopkins	I	Johns_Hopkins_University	
University	I	Johns_Hopkins_University	
from	O
taking	O
Goeppert	B	Goeppert_Mayer	
Mayer	I	Goeppert_Mayer	
on	O
as	O
a	O
faculty	B	faculty_member	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Faculty_(academic_staff)
member	I	faculty_member	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Faculty_(academic_staff)
,	O
but	O
she	B	she	
was	O
given	O
a	O
job	O
as	O
an	O
assistant	B	assistant	
and	O
published	O
a	O
landmark	O
paper	O
on	O
double	O
beta	O
decay	O
in	O
1935	O
.	O

-DOCSTART-	sentence-68
Appointed	O
Professor	B	Professor	
at	O
the	O
University	B	University_of_Rome	
of	I	University_of_Rome	
Rome	I	University_of_Rome	
,	O
man	B	man	
'	O
s	O
seminars	O
there	O
included	O
Harlequin	B	Harlequin	
and	O
the	O
commedia	B	commedia_dell'arte	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Commedia_dell'arte
dell	I	commedia_dell'arte	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Commedia_dell'arte
'	I	commedia_dell'arte	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Commedia_dell'arte
arte	I	commedia_dell'arte	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Commedia_dell'arte
.	O

-DOCSTART-	sentence-43
Born	O
on	O
22	O
April	O
1909	O
at	O
Turin	B	Turin	
Rita	B	Rita_Levi-Montalcini	
Levi	I	Rita_Levi-Montalcini	
-	I	Rita_Levi-Montalcini	
Montalcini	I	Rita_Levi-Montalcini	
were	O
the	O
youngest	O
of	O
four	O
children	O
.	O
Her	B	Her	
parents	O
were	O
Adele	B	Adele_Montalcini	
Montalcini	I	Adele_Montalcini	
,	O
a	O
painter	B	painter	
,	O
and	O
Adamo	B	Adamo_Levi	
Levi	I	Adamo_Levi	
,	O
an	O
electrical	B	electrical_engineer	
engineer	I	electrical_engineer	
and	O
mathematician	B	mathematician	
.	O

-DOCSTART-	sentence-24
Neruda	B	Neruda	
derived	O
his	B	his	
pen	O
name	O
from	O
the	O
Czech	B	Czech	
poet	B	poet	
Jan	B	Jan_Neruda	
Neruda	I	Jan_Neruda	
and	O
became	O
known	O
as	O
a	O
poet	B	poet	
when	O
he	B	he	
was	O
10	O
years	O
old	O
.	O

-DOCSTART-	sentence-34
After	O
World	O
War	O
II	O
broke	O
out	O
,	O
in	O
1941	O
Prelog	B	Prelog	
was	O
invited	O
in	O
Germany	B	Germany	
by	O
Richard	B	Richard_Kuhn	
Kuhn	I	Richard_Kuhn	
as	O
lecturer	B	lecturer	
,	O
and	O
shortly	O
afterwards	O
,	O
Lavoslav	B	Lavoslav_Ružička	
Ružička	I	Lavoslav_Ružička	
,	O
invited	O
Prelog	B	Prelog	
to	O
visit	O
him	B	him	
on	O
his	B	his	
way	O
to	O
Germany	B	Germany	
.	O

-DOCSTART-	sentence-28
Thomas	B	Thomas_Eliot	
Eliot	I	Thomas_Eliot	
was	O
invited	O
to	O
study	O
at	O
the	O
Institute	B	Institute_for_Advanced_Study	
for	I	Institute_for_Advanced_Study	
Advanced	I	Institute_for_Advanced_Study	
Study	I	Institute_for_Advanced_Study	
by	O
Director	B	Director	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Director_(business)
Frank	B	Frank_Aydelotte	
Aydelotte	I	Frank_Aydelotte	
.	O
Eliot	B	Eliot	
was	O
born	O
into	O
the	O
Eliot	B	Eliot_family	
family	I	Eliot_family	
,	O
a	O
Boston	B	Boston_Brahmin_family	
Brahmin	I	Boston_Brahmin_family	
family	I	Boston_Brahmin_family	
with	O
roots	O
in	O
England	B	England	
and	O
New	B	New_England	
England	I	New_England	
.	O

-DOCSTART-	sentence-36
In	O
1950	O
James	B	James_Tobin	
Tobin	I	James_Tobin	
moved	O
to	O
Yale	B	Yale_University	
University	I	Yale_University	
,	O
where	O
he	B	he	
remained	O
for	O
the	O
rest	O
of	O
his	B	his	
career	O
.	O
James	B	James_Tobin	
Tobin	I	James_Tobin	
joined	O
the	O
Cowles	B	Cowles_Foundation	
Foundation	I	Cowles_Foundation	
,	O
which	O
moved	O
to	O
Yale	B	Yale	
in	O
1955	O
,	O
also	O
serving	O
as	O
its	O
president	B	president	
between	O
1955	O
–	O
1961	O
and	O
1964	O
-	O
1965	O
.	O

-DOCSTART-	sentence-93
In	O
1949	O
Toni	B	Toni_Morrison	
Morrison	I	Toni_Morrison	
went	O
to	O
Howard	B	Howard_University	
University	I	Howard_University	
graduating	O
in	O
1953	O
with	O
a	O
B	O
.	O
A	O
.	O
in	O
English	O
;	O
she	B	she	
went	O
on	O
to	O
earn	O
a	O
Master	O
of	O
Arts	O
from	O
Cornell	B	Cornell_University	
University	I	Cornell_University	
in	O
1955	O
.	O

-DOCSTART-	sentence-20
Beckett	B	Beckett	
studied	O
French	O
,	O
Italian	O
,	O
and	O
English	O
at	O
Trinity	B	Trinity_College	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Trinity_College,_Dublin
College	I	Trinity_College	http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-Trinity_College,_Dublin
,	O
Dublin	B	Dublin	
from	O
1923	O
to	O
1927	O
.	O
Beckett	B	Beckett	
graduated	O
with	O
a	O
BA	O
and	O
,	O
after	O
teaching	O
briefly	O
at	O
